"Barrio","Distrito","Ratio/10k hab","Cluster","p-value"
"el Barri Gòtic","Ciutat Vella",2.51,"Alto-Alto (Hotspot)",0
"la Barceloneta","Ciutat Vella",2.03,"Alto-Alto (Hotspot)",0
"la Dreta de l'Eixample","Eixample",2.63,"Alto-Alto (Hotspot)",3e-04
"la Vila Olímpica del Poblenou","Sant Martí",3.21,"Alto-Alto (Hotspot)",5e-04
"el Fort Pienc","Eixample",1.09,"Bajo-Alto (Atípico)",0.0017
"la Marina del Prat Vermell","Sants-Montjuïc",0,"Bajo-Alto (Atípico)",0.0123
"Sant Antoni","Eixample",2.04,"Alto-Alto (Hotspot)",0.0136
"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella",10.54,"Alto-Alto (Hotspot)",0.0209
"el Parc i la Llacuna del Poblenou","Sant Martí",2.27,"Alto-Alto (Hotspot)",0.0271
"Horta","Horta-Guinardó",0.96,"Bajo-Bajo (Coldspot)",0.0365
"el Raval","Ciutat Vella",4.81,"Alto-Alto (Hotspot)",0.0487
